participant,condition,condition_name,epoch,Pz,Fz,Cz
1,1,condition_1,1,-0.6809945093292984,1.6103371132379374,1.3555337784101351
2,1,condition_1,1,1.6839282234487096,2.020482978856327,3.0712641222011077
3,1,condition_1,1,2.340502273676672,-0.29604510807703693,0.7300290401269008
4,1,condition_1,1,3.3061796072708582,0.006220733724757032,0.9888331440226362
5,1,condition_1,1,-1.505365277889949,-2.0526377991731,-3.9678817892331852
6,1,condition_1,1,-0.08476393244667707,-1.4665171935743981,-0.027214954110246232
7,1,condition_1,1,-1.0286586164035687,0.4684893658246081,-1.3468909207433248
8,1,condition_1,1,2.026164661537336,-2.1478388998743125,-1.1658276974839927
9,1,condition_1,1,-0.2160349314307147,-0.9822641320314224,-1.785510058850273
10,1,condition_1,1,-0.47084071518607273,0.6648486010799274,-0.7162859161537519
11,1,condition_1,1,2.2234219819903887,0.16960758348448446,1.7302262468042668
12,1,condition_1,1,2.503115425617409,-0.13232286114018244,0.5233495566863217
13,1,condition_1,3,-0.3427089405294097,0.5487161182524164,-0.09603459370979614
14,1,condition_1,1,1.0925472851474316,1.3125520600595177,1.1471460126866502
15,1,condition_1,1,-0.12302012233110234,1.3147127092886792,-1.2492404895142852
16,1,condition_1,1,0.07660474295287618,-0.6358924787643183,-1.2062609195144554
