file,participant,condition,condition_name,analysis_type,baseline_interval_start,baseline_interval_end,analysis_interval_start,analysis_interval_end,Pz
example1,1,1,valid_left,max_peak_amplitude,-0.2,0.0,0.3,0.6,1.8234392455046953
example1,1,2,invalid_left,max_peak_amplitude,-0.2,0.0,0.3,0.6,4.900505742368988
example2,2,1,valid_left,max_peak_amplitude,-0.2,0.0,0.3,0.6,2.8627512980931176
example2,2,2,invalid_left,max_peak_amplitude,-0.2,0.0,0.3,0.6,4.09872048083793
example3,3,1,valid_left,max_peak_amplitude,-0.2,0.0,0.3,0.6,0.8738574546010462
example3,3,2,invalid_left,max_peak_amplitude,-0.2,0.0,0.3,0.6,5.81681706089638
example4,4,1,valid_left,max_peak_amplitude,-0.2,0.0,0.3,0.6,1.6689202926255295
example4,4,2,invalid_left,max_peak_amplitude,-0.2,0.0,0.3,0.6,8.541019017680927
example5,5,1,valid_left,max_peak_amplitude,-0.2,0.0,0.3,0.6,-1.1313068179493762
example5,5,2,invalid_left,max_peak_amplitude,-0.2,0.0,0.3,0.6,2.8263621523452387
example6,6,1,valid_left,max_peak_amplitude,-0.2,0.0,0.3,0.6,3.4340876811720458
example6,6,2,invalid_left,max_peak_amplitude,-0.2,0.0,0.3,0.6,3.823385962670885
example7,7,1,valid_left,max_peak_amplitude,-0.2,0.0,0.3,0.6,5.592119869951321
example7,7,2,invalid_left,max_peak_amplitude,-0.2,0.0,0.3,0.6,5.674077115193162
example8,8,1,valid_left,max_peak_amplitude,-0.2,0.0,0.3,0.6,-0.6753202741776096
example8,8,2,invalid_left,max_peak_amplitude,-0.2,0.0,0.3,0.6,4.785418812744202
example9,9,1,valid_left,max_peak_amplitude,-0.2,0.0,0.3,0.6,5.173171096992775
example9,9,2,invalid_left,max_peak_amplitude,-0.2,0.0,0.3,0.6,11.975809905413758
example10,10,1,valid_left,max_peak_amplitude,-0.2,0.0,0.3,0.6,1.6981066352484764
example10,10,2,invalid_left,max_peak_amplitude,-0.2,0.0,0.3,0.6,7.210041034173646
example11,11,1,valid_left,max_peak_amplitude,-0.2,0.0,0.3,0.6,3.045775023611471
example11,11,2,invalid_left,max_peak_amplitude,-0.2,0.0,0.3,0.6,3.488663917031445
example12,12,1,valid_left,max_peak_amplitude,-0.2,0.0,0.3,0.6,4.148299255648272
example12,12,2,invalid_left,max_peak_amplitude,-0.2,0.0,0.3,0.6,2.9053265895549636
