file,participant,condition,condition_name,analysis_type,baseline_interval_start,baseline_interval_end,analysis_interval_start,analysis_interval_end,Pz
example1,1,1,valid_left,max_peak_latency,-0.2,0.0,0.3,0.6,0.5859375
example1,1,2,invalid_left,max_peak_latency,-0.2,0.0,0.3,0.6,0.58203125
example2,2,1,valid_left,max_peak_latency,-0.2,0.0,0.3,0.6,0.35546875
example2,2,2,invalid_left,max_peak_latency,-0.2,0.0,0.3,0.6,0.5625
example3,3,1,valid_left,max_peak_latency,-0.2,0.0,0.3,0.6,0.3359375
example3,3,2,invalid_left,max_peak_latency,-0.2,0.0,0.3,0.6,0.3828125
example4,4,1,valid_left,max_peak_latency,-0.2,0.0,0.3,0.6,0.31640625
example4,4,2,invalid_left,max_peak_latency,-0.2,0.0,0.3,0.6,0.37109375
example5,5,1,valid_left,max_peak_latency,-0.2,0.0,0.3,0.6,0.5625
example5,5,2,invalid_left,max_peak_latency,-0.2,0.0,0.3,0.6,0.56640625
example6,6,1,valid_left,max_peak_latency,-0.2,0.0,0.3,0.6,0.33203125
example6,6,2,invalid_left,max_peak_latency,-0.2,0.0,0.3,0.6,0.3828125
example7,7,1,valid_left,max_peak_latency,-0.2,0.0,0.3,0.6,0.3671875
example7,7,2,invalid_left,max_peak_latency,-0.2,0.0,0.3,0.6,0.52734375
example8,8,1,valid_left,max_peak_latency,-0.2,0.0,0.3,0.6,0.3125
example8,8,2,invalid_left,max_peak_latency,-0.2,0.0,0.3,0.6,0.4140625
example9,9,1,valid_left,max_peak_latency,-0.2,0.0,0.3,0.6,0.41796875
example9,9,2,invalid_left,max_peak_latency,-0.2,0.0,0.3,0.6,0.42578125
example10,10,1,valid_left,max_peak_latency,-0.2,0.0,0.3,0.6,0.3125
example10,10,2,invalid_left,max_peak_latency,-0.2,0.0,0.3,0.6,0.34765625
example11,11,1,valid_left,max_peak_latency,-0.2,0.0,0.3,0.6,0.4296875
example11,11,2,invalid_left,max_peak_latency,-0.2,0.0,0.3,0.6,0.359375
example12,12,1,valid_left,max_peak_latency,-0.2,0.0,0.3,0.6,0.31640625
example12,12,2,invalid_left,max_peak_latency,-0.2,0.0,0.3,0.6,0.578125
