file,participant,condition,condition_name,analysis_type,baseline_interval_start,baseline_interval_end,analysis_interval_start,analysis_interval_end,Pz,Fz,Cz
example1,1,1,valid_left,mean_amplitude,-0.2,0.0,0.3,0.5,-0.03692165183937885,0.7888459018512884,2.0369196830941574
example1,1,2,invalid_left,mean_amplitude,-0.2,0.0,0.3,0.5,3.6371807191392134,-1.7053185900928862,1.4262914378388203
example2,2,1,valid_left,mean_amplitude,-0.2,0.0,0.3,0.5,1.890164072221268,-1.0774902105340056,1.4031038979800816
example2,2,2,invalid_left,mean_amplitude,-0.2,0.0,0.3,0.5,2.596017317022865,-0.4009684056404711,3.699675684619505
example3,3,1,valid_left,mean_amplitude,-0.2,0.0,0.3,0.5,0.023820732194208563,-0.07860864676353084,1.2356418697407712
example3,3,2,invalid_left,mean_amplitude,-0.2,0.0,0.3,0.5,4.061231406316974,-0.05396389395430328,2.0578821607169617
example4,4,1,valid_left,mean_amplitude,-0.2,0.0,0.3,0.5,0.2532745384713403,2.6672402288692223,4.353757402342345
example4,4,2,invalid_left,mean_amplitude,-0.2,0.0,0.3,0.5,6.341849641150455,2.8678040937065132,7.471174512795467
example5,5,1,valid_left,mean_amplitude,-0.2,0.0,0.3,0.5,-2.7853421512118364,0.25067138954379836,-1.313688770434235
example5,5,2,invalid_left,mean_amplitude,-0.2,0.0,0.3,0.5,-0.16979876159941834,0.1813369960683414,0.5697430562020313
example6,6,1,valid_left,mean_amplitude,-0.2,0.0,0.3,0.5,2.395355834200197,2.1033306024659724,5.532210610752587
example6,6,2,invalid_left,mean_amplitude,-0.2,0.0,0.3,0.5,2.6411327053064815,0.5999409875754738,2.911577373098998
example7,7,1,valid_left,mean_amplitude,-0.2,0.0,0.3,0.5,3.7001976308758557,-3.043052534698167,0.7096115339595035
example7,7,2,invalid_left,mean_amplitude,-0.2,0.0,0.3,0.5,4.036457013281755,-1.5171020579117356,1.3906732355004612
example8,8,1,valid_left,mean_amplitude,-0.2,0.0,0.3,0.5,-1.4300013908586278,0.013407280657687677,0.5489619756419376
example8,8,2,invalid_left,mean_amplitude,-0.2,0.0,0.3,0.5,3.1745021768485437,-1.164509603347952,2.3810025055952266
example9,9,1,valid_left,mean_amplitude,-0.2,0.0,0.3,0.5,4.088646630602708,0.007505514635362642,3.5911715058587115
example9,9,2,invalid_left,mean_amplitude,-0.2,0.0,0.3,0.5,9.378664160696905,0.1908358495185947,8.733774227678929
example10,10,1,valid_left,mean_amplitude,-0.2,0.0,0.3,0.5,-0.04800167088845687,2.948584957986919,4.436248220576491
example10,10,2,invalid_left,mean_amplitude,-0.2,0.0,0.3,0.5,4.676093304434733,0.11107930661562607,3.7586710998733315
example11,11,1,valid_left,mean_amplitude,-0.2,0.0,0.3,0.5,1.6657669944277638,0.6248466907585268,2.247323316489967
example11,11,2,invalid_left,mean_amplitude,-0.2,0.0,0.3,0.5,2.5500529957315314,-0.9209883478777063,1.7514368445720847
example12,12,1,valid_left,mean_amplitude,-0.2,0.0,0.3,0.5,2.4670203954381433,-0.23828995828996866,1.4635976562152195
example12,12,2,invalid_left,mean_amplitude,-0.2,0.0,0.3,0.5,1.383943037481619,1.4567114378651227,2.0694970091798903
