label,inc,azi
GND,67.0,90.0
REF,-23.0,-90.0
Fp1,-90.0,-72.0
Fp2,90.0,72.0
F3,-60.0,-51.0
F4,60.0,51.0
C3,-45.0,0.0
C4,45.0,0.0
P3,-60.0,51.0
P4,60.0,-51.0
O1,-90.0,72.0
O2,90.0,-72.0
F7,-90.0,-36.0
F8,90.0,36.0
T7,-90.0,0.0
T8,90.0,0.0
P7,-90.0,36.0
P8,90.0,-36.0
FPz,90.0,90.0
Fz,45.0,90.0
Cz,0.0,0.0
Pz,45.0,-90.0
POz,67.0,-90.0
Oz,90.0,-90.0
FT9,-113.0,-18.0
FT10,113.0,18.0
TP9',-121.0,18.0
TP10',121.0,-18.0
EOG1,-121.0,-36.0
EOG2,121.0,36.0
EMG1,-150.0,-52.0
EMG2,140.0,61.0
EMG3,152.0,53.0
ECG,-162.0,44.0
