label,inc,azi
GND,67.0,90.0
Fp1,-90.0,-72.0
Fp2,90.0,72.0
F3,-60.0,-51.0
F4,60.0,51.0
C3,-45.0,0.0
C4,45.0,0.0
P3,-60.0,51.0
P4,60.0,-51.0
O1,-90.0,72.0
O2,90.0,-72.0
F7,-90.0,-36.0
F8,90.0,36.0
T7,-90.0,0.0
T8,90.0,0.0
P7,-90.0,36.0
P8,90.0,-36.0
Fpz,90.0,90.0
Fz,45.0,90.0
FCz,23.0,90.0
Cz,0.0,0.0
Pz,45.0,-90.0
Oz,90.0,-90.0
FT9,-113.0,-18.0
FT10,113.0,18.0
M1,-121.0,18.0
M2,121.0,-18.0
EOG1,-121.0,-30.0
EOG2,121.0,30.0
EMG1,-154.0,-56.0
EMG2,-145.0,-61.0
EMG3,-138.0,-68.0
ECG,-156.0,49.0
