label,inc,azi
GND,90.0,90.0
REF,23.0,90.0
Fp1,-90.0,-72.0
Fz,45.0,90.0
F3,-60.0,-51.0
F7,-90.0,-36.0
F9,-113.0,-36.0
FC5,-69.0,-21.0
FC1,-31.0,-46.0
C3,-45.0,0.0
T7,-90.0,0.0
CP5,-69.0,21.0
CP1,-31.0,46.0
Pz,45.0,-90.0
P3,-60.0,51.0
P7,-90.0,36.0
P9,-113.0,36.0
O1,-90.0,72.0
ECG,-151.0,50.0
O2,90.0,-72.0
P10,113.0,-36.0
P8,90.0,-36.0
P4,60.0,-51.0
CP2,31.0,-46.0
CP6,69.0,-21.0
T8,90.0,0.0
C4,45.0,0.0
Cz,0.0,0.0
FC2,31.0,46.0
FC6,69.0,21.0
F10,113.0,36.0
F8,90.0,36.0
F4,60.0,51.0
Fp2,90.0,72.0
AF7,-90.0,-54.0
AF3,-74.0,-68.0
AFz,67.0,90.0
F1,-49.0,-68.0
F5,-74.0,-41.0
FT7,-90.0,-18.0
FC3,-49.0,-29.0
C1,-23.0,0.0
C5,-68.0,0.0
TP7,-90.0,18.0
CP3,-49.0,29.0
P1,-49.0,68.0
P5,-74.0,41.0
PO7,-90.0,54.0
PO3,-74.0,68.0
Iz,112.0,-90.0
POz,67.0,-90.0
PO4,74.0,-68.0
PO8,90.0,-54.0
P6,74.0,-41.0
P2,49.0,-68.0
CPz,22.0,-90.0
CP4,49.0,-29.0
TP8,90.0,-18.0
C6,68.0,0.0
C2,23.0,0.0
FC4,49.0,29.0
FT8,90.0,18.0
F6,74.0,41.0
F2,49.0,68.0
AF4,74.0,68.0
AF8,90.0,54.0
